query_id,query,retrieved_doc_id,retrieved_doc,retrieved_code,retrieved_explanation,score,ground_truth_relevance
q20105,sort by a token in string python,d20330,python read tokens from line,"def get_tokens(line: str) -> Iterator[str]:
    """"""
    Yields tokens from input string.

    :param line: Input string.
    :return: Iterator over tokens.
    """"""
    for token in line.rstrip().split():
        if len(token) > 0:
            yield token",The doc and code explain a function called get_tokens which takes a string as input. It splits the string into tokens using rstrip() and yields each token if it's not empty.The function `get_tokens` splits the input string into tokens using `rstrip()` and yields each token if it's non-empty.,0.8575623631477356,0
q20105,sort by a token in string python,d20105,sort by a token in string python,"def _process_and_sort(s, force_ascii, full_process=True):
    """"""Return a cleaned string with token sorted.""""""
    # pull tokens
    ts = utils.full_process(s, force_ascii=force_ascii) if full_process else s
    tokens = ts.split()

    # sort tokens and join
    sorted_string = u"" "".join(sorted(tokens))
    return sorted_string.strip()","The doc and code both clean a string by splitting it into tokens and joining them in order. The tokens are sorted, then joined with spaces.The doc and code clean a string by splitting it into tokens and sorting them before rejoining, resulting in a cleaned string.",0.8251593112945557,1
q20106,python check file is readonly,d10691,check if file is readonly python,"def is_readable(filename):
    """"""Check if file is a regular file and is readable.""""""
    return os.path.isfile(filename) and os.access(filename, os.R_OK)","A file is considered readonly if it is a regular file and readable. This is checked using os.path.isfile and os.access methods with access mode R_OK.A file is considered readonly if it is a regular file and readable. This is checked using `os.path.isfile` to verify it's a file and `os.access(filename, os.R_OK)` to ensure it's readable, which requires the 'R' mode.",0.8829416632652283,0
q20106,python check file is readonly,d20106,python check file is readonly,"def is_readable(filename):
    """"""Check if file is a regular file and is readable.""""""
    return os.path.isfile(filename) and os.access(filename, os.R_OK)","The doc checks if a file is readable and a regular file, ensuring it can be read by someone else.The doc and code ensure a file is readable and a regular file, meaning it can be read by others.",0.8284931182861328,1
q20107,declaring empty numpy array in python,d9334,how to create empty numpy array of single list in python,"def _cell(x):
    """"""translate an array x into a MATLAB cell array""""""
    x_no_none = [i if i is not None else """" for i in x]
    return array(x_no_none, dtype=np_object)","To create an empty NumPy array of a single list in Python, you can use the `np.array()` function with an empty list. This ensures that the resulting array is empty and of the specified type.",0.9032297134399414,0
q20107,declaring empty numpy array in python,d20107,declaring empty numpy array in python,"def empty(self, name, **kwargs):
        """"""Create an array. Keyword arguments as per
        :func:`zarr.creation.empty`.""""""
        return self._write_op(self._empty_nosync, name, **kwargs)","The docstring and code in the code snippet both describe a method to create an empty numpy array, with the docstring providing a brief description and the code snippet offering a clear implementation.The docstring and code snippet both describe a method to create an empty numpy array. The docstring provides a brief description, while the code snippet offers a clear implementation.",0.8537569642066956,1
q20108,test for iterable is string in python,d3807,"python, check iterable type","def _is_iterable(item):
    """""" Checks if an item is iterable (list, tuple, generator), but not string """"""
    return isinstance(item, collections.Iterable) and not isinstance(item, six.string_types)","The docstring and code both check if an item is iterable but exclude strings. The function `_is_iterable` uses `collections.Iterable` and excludes `six.string_types`. It returns `True` for lists, tuples, and generators, and `False` for strings. The concise explanation is that the function determines if an item is iterable, excluding strings.",0.8978195190429688,0
q20108,test for iterable is string in python,d20108,test for iterable is string in python,"def is_iterable_but_not_string(obj):
    """"""
    Determine whether or not obj is iterable but not a string (eg, a list, set, tuple etc).
    """"""
    return hasattr(obj, '__iter__') and not isinstance(obj, str) and not isinstance(obj, bytes)","The docstring and code both describe a function `is_iterable_but_not_string` that checks if an object is iterable but not a string or bytes. The function returns `True` if the object is iterable and not a string/bytes type, otherwise `False`. This function checks if an object is iterable but not a string or bytes. It returns True if it meets these conditions, otherwise False.",0.8767999410629272,1
q20109,python print results of query loop,d20109,python print results of query loop,"def print_runs(query):
    """""" Print all rows in this result query. """"""

    if query is None:
        return

    for tup in query:
        print((""{0} @ {1} - {2} id: {3} group: {4}"".format(
            tup.end, tup.experiment_name, tup.project_name,
            tup.experiment_group, tup.run_group)))","The docstring explains that the function prints runs based on a query. The code snippet defines the function with a docstring, checks if query is None and returns if so, then loops through each tuple in the query and prints each with a formatted string.The docstring explains that the function prints runs based on a query. The code snippet defines the function with a docstring, checks if query is None, and then loops through each tuple in the query, formatting each with a specific string.",0.875434398651123,1
q20109,python print results of query loop,d20109,python print results of query loop,"def print_runs(query):
    """""" Print all rows in this result query. """"""

    if query is None:
        return

    for tup in query:
        print((""{0} @ {1} - {2} id: {3} group: {4}"".format(
            tup.end, tup.experiment_name, tup.project_name,
            tup.experiment_group, tup.run_group)))","The docstring explains that the function prints runs based on a query. The code snippet defines the function with a docstring, checks if query is None and returns if so, then loops through each tuple in the query and prints each with a formatted string.The docstring explains that the function prints runs based on a query. The code snippet defines the function with a docstring, checks if query is None, and then loops through each tuple in the query, formatting each with a specific string.",0.875434398651123,1
q20110,how to save header of fits file to export python,d20110,how to save header of fits file to export python,"def write_fits(self, fitsfile):
        """"""Write the ROI model to a FITS file.""""""

        tab = self.create_table()
        hdu_data = fits.table_to_hdu(tab)
        hdus = [fits.PrimaryHDU(), hdu_data]
        fits_utils.write_hdus(hdus, fitsfile)","The code creates a table, converts it to HDUs, and exports them to a FITS file. It saves the header, which includes the primary header and the data. The header is exported using the write_hdus function, and the file is named fitsfile.The code creates a table, converts it to HDUs, and exports them to a FITS file. It saves the header, which includes the primary header and the data. The header is exported using the write_hdus function, and the file is named fitsfile.",0.8786085844039917,1
q20110,how to save header of fits file to export python,d20110,how to save header of fits file to export python,"def write_fits(self, fitsfile):
        """"""Write the ROI model to a FITS file.""""""

        tab = self.create_table()
        hdu_data = fits.table_to_hdu(tab)
        hdus = [fits.PrimaryHDU(), hdu_data]
        fits_utils.write_hdus(hdus, fitsfile)","The code creates a table, converts it to HDUs, and exports them to a FITS file. It saves the header, which includes the primary header and the data. The header is exported using the write_hdus function, and the file is named fitsfile.The code creates a table, converts it to HDUs, and exports them to a FITS file. It saves the header, which includes the primary header and the data. The header is exported using the write_hdus function, and the file is named fitsfile.",0.8786085844039917,1
q20111,python calc page align,d7210,how to center align text in python 3,"def center_text(text, width=80):
    """"""Center all lines of the text.

    It is assumed that all lines width is smaller then B{width}, because the
    line width will not be checked.

    Args:
        text (str): Text to wrap.
        width (int): Maximum number of characters per line.

    Returns:
        str: Centered text.
    """"""
    centered = []
    for line in text.splitlines():
        centered.append(line.center(width))
    return ""\n"".join(centered)","To center align text in Python, each line of the text should be centered within a specified width. This ensures that each line appears equally within the total width, regardless of its original length. The function provided centers each line using the `center()` method with the specified width, ensuring that each line is aligned and within the given width.",0.8692400455474854,0
q20111,python calc page align,d20111,python calc page align,"def page_align_content_length(length):
    # type: (int) -> int
    """"""Compute page boundary alignment
    :param int length: content length
    :rtype: int
    :return: aligned byte boundary
    """"""
    mod = length % _PAGEBLOB_BOUNDARY
    if mod != 0:
        return length + (_PAGEBLOB_BOUNDARY - mod)
    return length","```The doc and code are functions that compute the page boundary alignment based on content length, returning the aligned byte boundary. The function uses modulo to determine the remainder when content length is divided by page size, and adjusts accordingly.The doc and code describe a function that computes the page boundary alignment based on the content length, returning the aligned byte boundary. The function uses modulo to determine the remainder when content length is divided by page size, and adjusts accordingly.",0.8508517742156982,1
q20112,python numpy array as float,d2156,python ctypes float to int,"def cfloat32_array_to_numpy(cptr, length):
    """"""Convert a ctypes float pointer array to a numpy array.""""""
    if isinstance(cptr, ctypes.POINTER(ctypes.c_float)):
        return np.fromiter(cptr, dtype=np.float32, count=length)
    else:
        raise RuntimeError('Expected float pointer')","The code snippet `cfloat32_array_to_numpy` is designed to convert a ctypes float pointer array into a numpy array. It checks if the pointer is to `c_float` and then uses `np.fromiter` to create a numpy array of floats with the given length. If the pointer is not to `c_float`, it raises an error. This function is used to convert ctypes float pointer arrays into standard numpy float arrays.",0.8897168636322021,0
q20112,python numpy array as float,d20112,python numpy array as float,"def as_float_array(a):
    """"""View the quaternion array as an array of floats

    This function is fast (of order 1 microsecond) because no data is
    copied; the returned quantity is just a ""view"" of the original.

    The output view has one more dimension (of size 4) than the input
    array, but is otherwise the same shape.

    """"""
    return np.asarray(a, dtype=np.quaternion).view((np.double, 4))","The function `as_float_array` converts a quaternion array to an array of floats. It returns a view of the original array, which is one dimension larger, with the same shape except for an extra 4 elements. The conversion is fast and efficient, as it doesn't copy data.",0.8575085401535034,1
