,baseline_mrr,baseline_ndcg,expl_mrr,expl_ndcg,delta_mrr,delta_ndcg
q20105,1.0,1.0,0.5,0.6309297535714575,-0.5,-0.36907024642854247
q20106,1.0,1.0,0.0,0.0,-1.0,-1.0
q20107,0.16666666666666666,0.3562071871080222,0.0,0.0,-0.16666666666666666,-0.3562071871080222
q20108,0.1111111111111111,0.3010299956639812,0.024390243902439025,0.1854490234153689,-0.08672086720867209,-0.1155809722486123
q20109,1.0,1.0,0.16666666666666666,0.3562071871080222,-0.8333333333333334,-0.6437928128919779
q20110,0.16666666666666666,0.3562071871080222,0.01,0.15019048322368797,-0.15666666666666665,-0.2060167038843342
q20111,0.3333333333333333,0.5,0.05263157894736842,0.23137821315975915,-0.2807017543859649,-0.26862178684024085
q20112,0.041666666666666664,0.21533827903669653,0.0,0.0,-0.041666666666666664,-0.21533827903669653
q20113,0.016129032258064516,0.16730017881017412,0.043478260869565216,0.21810429198553155,0.0273492286115007,0.050804113175357435
q20114,0.01694915254237288,0.16929380759878143,0.0,0.0,-0.01694915254237288,-0.16929380759878143
q20115,0.3333333333333333,0.5,0.07142857142857142,0.2559580248098155,-0.26190476190476186,-0.2440419751901845
q20116,0.006493506493506494,0.13743580294959373,0.0,0.0,-0.006493506493506494,-0.13743580294959373
q20117,0.029411764705882353,0.1949590218937863,0.0,0.0,-0.029411764705882353,-0.1949590218937863
q20118,0.00847457627118644,0.14503646569481302,0.0,0.0,-0.00847457627118644,-0.14503646569481302
q20119,0.07142857142857142,0.2559580248098155,0.010309278350515464,0.15117821092177644,-0.06111929307805596,-0.10477981388803906
q20120,0.1,0.2890648263178879,0.0,0.0,-0.1,-0.2890648263178879
q20121,0.045454545454545456,0.22106472945750374,0.021739130434782608,0.18003132665669264,-0.023715415019762848,-0.04103340280081111
q20122,0.002336448598130841,0.11435323055674379,0.0,0.0,-0.002336448598130841,-0.11435323055674379
q20123,0.125,0.31546487678572877,0.03125,0.19823986317056053,-0.09375,-0.11722501361516824
q20124,0.5,0.6309297535714575,0.06666666666666667,0.25,-0.43333333333333335,-0.38092975357145753
q20125,0.2,0.38685280723454163,0.1111111111111111,0.3010299956639812,-0.0888888888888889,-0.08582281157056043
q20126,0.03125,0.19823986317056053,0.0,0.0,-0.03125,-0.19823986317056053
q20127,1.0,1.0,0.0,0.0,-1.0,-1.0
q20128,0.2,0.38685280723454163,0.03225806451612903,0.2,-0.16774193548387098,-0.18685280723454162
q20129,0.05263157894736842,0.23137821315975915,0.011627906976744186,0.15520856277015513,-0.04100367197062423,-0.07616965038960402
q20130,0.25,0.43067655807339306,0.3333333333333333,0.5,0.08333333333333331,0.06932344192660694
q20131,0.5,0.6309297535714575,0.08333333333333333,0.27023815442731974,-0.4166666666666667,-0.3606915991441378
q20132,0.1,0.2890648263178879,0.0,0.0,-0.1,-0.2890648263178879
q20133,0.25,0.43067655807339306,0.25,0.43067655807339306,0.0,0.0
q20134,0.01282051282051282,0.15863495891559604,0.16666666666666666,0.3562071871080222,0.15384615384615383,0.19757222819242615
q20135,1.0,1.0,0.14285714285714285,0.3333333333333333,-0.8571428571428572,-0.6666666666666667
q20136,0.14285714285714285,0.3333333333333333,1.0,1.0,0.8571428571428572,0.6666666666666667
q20137,1.0,1.0,0.0,0.0,-1.0,-1.0
q20138,1.0,1.0,0.010309278350515464,0.15117821092177644,-0.9896907216494846,-0.8488217890782236
q20139,1.0,1.0,0.058823529411764705,0.23981246656813146,-0.9411764705882353,-0.7601875334318685
q20140,0.01818181818181818,0.17219543379409813,0.0,0.0,-0.01818181818181818,-0.17219543379409813
q20141,0.2,0.38685280723454163,0.3333333333333333,0.5,0.1333333333333333,0.11314719276545837
q20142,1.0,1.0,1.0,1.0,0.0,0.0
q20143,0.017241379310344827,0.16999161628691403,0.0,0.0,-0.017241379310344827,-0.16999161628691403
q20144,0.3333333333333333,0.5,0.09090909090909091,0.27894294565112987,-0.2424242424242424,-0.22105705434887013
q20145,0.06666666666666667,0.25,0.015873015873015872,0.16666666666666666,-0.050793650793650794,-0.08333333333333334
q20146,1.0,1.0,0.0,0.0,-1.0,-1.0
q20147,0.005405405405405406,0.13264079256781566,0.0,0.0,-0.005405405405405406,-0.13264079256781566
q20148,0.01,0.15019048322368797,0.125,0.31546487678572877,0.115,0.1652743935620408
q20149,0.045454545454545456,0.22106472945750374,0.0,0.0,-0.045454545454545456,-0.22106472945750374
q20150,0.019230769230769232,0.17458343004804494,0.013888888888888888,0.16155546744299637,-0.005341880341880344,-0.01302796260504857
q20151,0.03571428571428571,0.20584683246043448,0.0,0.0,-0.03571428571428571,-0.20584683246043448
q20152,0.07142857142857142,0.2559580248098155,0.043478260869565216,0.21810429198553155,-0.02795031055900621,-0.03785373282428395
q20153,1.0,1.0,0.0,0.0,-1.0,-1.0
