query_id,baseline_rank,expl_rank,baseline_in_topk,expl_in_topk
q20105,inf,inf,False,False
q20106,inf,inf,False,False
q20107,inf,inf,False,False
q20108,inf,inf,False,False
q20109,inf,inf,False,False
q20110,inf,inf,False,False
q20111,inf,inf,False,False
q20112,inf,inf,False,False
q20113,inf,inf,False,False
q20114,inf,inf,False,False
q20115,inf,inf,False,False
q20116,inf,inf,False,False
q20117,inf,inf,False,False
q20118,inf,inf,False,False
q20119,inf,inf,False,False
q20120,inf,inf,False,False
q20121,inf,inf,False,False
q20122,inf,inf,False,False
q20123,inf,inf,False,False
q20124,inf,inf,False,False
q20125,inf,inf,False,False
q20126,inf,inf,False,False
q20127,inf,inf,False,False
q20128,inf,inf,False,False
q20129,inf,inf,False,False
q20130,inf,inf,False,False
q20131,inf,inf,False,False
q20132,inf,inf,False,False
q20133,inf,inf,False,False
q20134,inf,inf,False,False
q20135,inf,inf,False,False
q20136,inf,inf,False,False
q20137,inf,inf,False,False
q20138,inf,inf,False,False
q20139,inf,inf,False,False
q20140,inf,inf,False,False
q20141,inf,inf,False,False
q20142,inf,inf,False,False
q20143,inf,inf,False,False
q20144,inf,inf,False,False
q20145,inf,inf,False,False
q20146,inf,inf,False,False
q20147,inf,inf,False,False
q20148,inf,inf,False,False
q20149,inf,inf,False,False
q20150,inf,inf,False,False
q20151,inf,inf,False,False
q20152,inf,inf,False,False
q20153,inf,inf,False,False
q20154,inf,inf,False,False
q20155,inf,inf,False,False
q20156,inf,inf,False,False
q20157,inf,inf,False,False
q20158,inf,inf,False,False
q20159,inf,inf,False,False
q20160,inf,inf,False,False
q20161,inf,inf,False,False
q20162,inf,inf,False,False
q20163,inf,inf,False,False
q20164,inf,inf,False,False
q20165,inf,inf,False,False
q20166,inf,inf,False,False
q20167,inf,inf,False,False
q20168,inf,inf,False,False
q20169,inf,inf,False,False
q20170,inf,inf,False,False
q20171,inf,inf,False,False
q20172,inf,inf,False,False
q20173,inf,inf,False,False
q20174,inf,inf,False,False
q20175,inf,inf,False,False
q20176,inf,inf,False,False
q20177,inf,inf,False,False
q20178,inf,inf,False,False
q20179,inf,inf,False,False
q20180,inf,inf,False,False
q20181,inf,inf,False,False
q20182,inf,inf,False,False
q20183,inf,inf,False,False
q20184,inf,inf,False,False
q20185,inf,inf,False,False
q20186,inf,inf,False,False
q20187,inf,inf,False,False
q20188,inf,inf,False,False
q20189,inf,inf,False,False
q20190,inf,inf,False,False
q20191,inf,inf,False,False
q20192,inf,inf,False,False
q20193,inf,inf,False,False
q20194,inf,inf,False,False
q20195,inf,inf,False,False
q20196,inf,inf,False,False
q20197,inf,inf,False,False
q20198,inf,inf,False,False
q20199,inf,inf,False,False
q20200,inf,inf,False,False
q20201,inf,inf,False,False
q20202,inf,inf,False,False
q20203,inf,inf,False,False
q20204,inf,inf,False,False
q20205,inf,inf,False,False
q20206,inf,inf,False,False
q20207,inf,inf,False,False
q20208,inf,inf,False,False
q20209,inf,inf,False,False
q20210,inf,inf,False,False
q20211,inf,inf,False,False
q20212,inf,inf,False,False
q20213,inf,inf,False,False
q20214,inf,inf,False,False
q20215,inf,inf,False,False
q20216,inf,inf,False,False
q20217,inf,inf,False,False
q20218,inf,inf,False,False
q20219,inf,inf,False,False
q20220,inf,inf,False,False
q20221,inf,inf,False,False
q20222,inf,inf,False,False
q20223,inf,inf,False,False
q20224,inf,inf,False,False
q20225,inf,inf,False,False
q20226,inf,inf,False,False
q20227,inf,inf,False,False
q20228,inf,inf,False,False
q20229,inf,inf,False,False
q20230,inf,inf,False,False
q20231,inf,inf,False,False
q20232,inf,inf,False,False
q20233,inf,inf,False,False
q20234,inf,inf,False,False
q20235,inf,inf,False,False
q20236,inf,inf,False,False
q20237,inf,inf,False,False
q20238,inf,inf,False,False
q20239,inf,inf,False,False
q20240,inf,inf,False,False
q20241,inf,inf,False,False
q20242,inf,inf,False,False
q20243,inf,inf,False,False
q20244,inf,inf,False,False
q20245,inf,inf,False,False
q20246,inf,inf,False,False
q20247,inf,inf,False,False
q20248,inf,inf,False,False
q20249,inf,inf,False,False
q20250,inf,inf,False,False
q20251,inf,inf,False,False
q20252,inf,inf,False,False
q20253,inf,inf,False,False
q20254,inf,inf,False,False
q20255,inf,inf,False,False
q20256,inf,inf,False,False
q20257,inf,inf,False,False
q20258,inf,inf,False,False
q20259,inf,inf,False,False
q20260,inf,inf,False,False
q20261,inf,inf,False,False
q20262,inf,inf,False,False
q20263,inf,inf,False,False
q20264,inf,inf,False,False
q20265,inf,inf,False,False
q20266,inf,inf,False,False
q20267,inf,inf,False,False
q20268,inf,inf,False,False
q20269,inf,inf,False,False
q20270,inf,inf,False,False
q20271,inf,inf,False,False
q20272,inf,inf,False,False
q20273,inf,inf,False,False
q20274,inf,inf,False,False
q20275,inf,inf,False,False
q20276,inf,inf,False,False
q20277,inf,inf,False,False
q20278,inf,inf,False,False
q20279,inf,inf,False,False
q20280,inf,inf,False,False
q20281,inf,inf,False,False
q20282,inf,inf,False,False
q20283,inf,inf,False,False
q20284,inf,inf,False,False
q20285,inf,inf,False,False
q20286,inf,inf,False,False
q20287,inf,inf,False,False
q20288,inf,inf,False,False
q20289,inf,inf,False,False
q20290,inf,inf,False,False
q20291,inf,inf,False,False
q20292,inf,inf,False,False
q20293,inf,inf,False,False
q20294,inf,inf,False,False
q20295,inf,inf,False,False
q20296,inf,inf,False,False
q20297,inf,inf,False,False
q20298,inf,inf,False,False
q20299,inf,inf,False,False
q20300,inf,inf,False,False
q20301,inf,inf,False,False
q20302,inf,inf,False,False
q20303,inf,inf,False,False
q20304,inf,inf,False,False
q20305,inf,inf,False,False
q20306,inf,inf,False,False
q20307,inf,inf,False,False
q20308,inf,inf,False,False
q20309,inf,inf,False,False
q20310,inf,inf,False,False
q20311,inf,inf,False,False
q20312,inf,inf,False,False
q20313,inf,inf,False,False
q20314,inf,inf,False,False
q20315,inf,inf,False,False
q20316,inf,inf,False,False
q20317,inf,inf,False,False
q20318,inf,inf,False,False
q20319,inf,inf,False,False
q20320,inf,inf,False,False
q20321,inf,inf,False,False
q20322,inf,inf,False,False
q20323,inf,inf,False,False
q20324,inf,inf,False,False
q20325,inf,inf,False,False
q20326,inf,inf,False,False
q20327,inf,inf,False,False
q20328,inf,inf,False,False
q20329,inf,inf,False,False
q20330,inf,inf,False,False
q20331,inf,inf,False,False
q20332,inf,inf,False,False
q20333,inf,inf,False,False
q20334,inf,inf,False,False
q20335,inf,inf,False,False
q20336,inf,inf,False,False
q20337,inf,inf,False,False
q20338,inf,inf,False,False
q20339,inf,inf,False,False
q20340,inf,inf,False,False
q20341,inf,inf,False,False
q20342,inf,inf,False,False
q20343,inf,inf,False,False
q20344,inf,inf,False,False
q20345,inf,inf,False,False
q20346,inf,inf,False,False
q20347,inf,inf,False,False
q20348,inf,inf,False,False
q20349,inf,inf,False,False
q20350,inf,inf,False,False
q20351,inf,inf,False,False
q20352,inf,inf,False,False
q20353,inf,inf,False,False
q20354,inf,inf,False,False
q20355,inf,inf,False,False
q20356,inf,inf,False,False
q20357,inf,inf,False,False
q20358,inf,inf,False,False
q20359,inf,inf,False,False
q20360,inf,inf,False,False
q20361,inf,inf,False,False
q20362,inf,inf,False,False
q20363,inf,inf,False,False
q20364,inf,inf,False,False
q20365,inf,inf,False,False
q20366,inf,inf,False,False
q20367,inf,inf,False,False
q20368,inf,inf,False,False
q20369,inf,inf,False,False
q20370,inf,inf,False,False
q20371,inf,inf,False,False
q20372,inf,inf,False,False
q20373,inf,inf,False,False
q20374,inf,inf,False,False
q20375,inf,inf,False,False
q20376,inf,inf,False,False
q20377,inf,inf,False,False
q20378,inf,inf,False,False
q20379,inf,inf,False,False
q20380,inf,inf,False,False
q20381,inf,inf,False,False
q20382,inf,inf,False,False
q20383,inf,inf,False,False
q20384,inf,inf,False,False
q20385,inf,inf,False,False
q20386,inf,inf,False,False
q20387,inf,inf,False,False
q20388,inf,inf,False,False
q20389,inf,inf,False,False
q20390,inf,inf,False,False
q20391,inf,inf,False,False
q20392,inf,inf,False,False
q20393,inf,inf,False,False
q20394,inf,inf,False,False
q20395,inf,inf,False,False
q20396,inf,inf,False,False
q20397,inf,inf,False,False
q20398,inf,inf,False,False
q20399,inf,inf,False,False
q20400,inf,inf,False,False
q20401,inf,inf,False,False
q20402,inf,inf,False,False
q20403,inf,inf,False,False
q20404,inf,inf,False,False
q20405,inf,inf,False,False
q20406,inf,inf,False,False
q20407,inf,inf,False,False
q20408,inf,inf,False,False
q20409,inf,inf,False,False
q20410,inf,inf,False,False
q20411,inf,inf,False,False
q20412,inf,inf,False,False
q20413,inf,inf,False,False
q20414,inf,inf,False,False
q20415,inf,inf,False,False
q20416,inf,inf,False,False
q20417,inf,inf,False,False
q20418,inf,inf,False,False
q20419,inf,inf,False,False
q20420,inf,inf,False,False
q20421,inf,inf,False,False
q20422,inf,inf,False,False
q20423,inf,inf,False,False
q20424,inf,inf,False,False
q20425,inf,inf,False,False
q20426,inf,inf,False,False
q20427,inf,inf,False,False
q20428,inf,inf,False,False
q20429,inf,inf,False,False
q20430,inf,inf,False,False
q20431,inf,inf,False,False
q20432,inf,inf,False,False
q20433,inf,inf,False,False
q20434,inf,inf,False,False
q20435,inf,inf,False,False
q20436,inf,inf,False,False
q20437,inf,inf,False,False
q20438,inf,inf,False,False
q20439,inf,inf,False,False
q20440,inf,inf,False,False
q20441,inf,inf,False,False
q20442,inf,inf,False,False
q20443,inf,inf,False,False
q20444,inf,inf,False,False
q20445,inf,inf,False,False
q20446,inf,inf,False,False
q20447,inf,inf,False,False
q20448,inf,inf,False,False
q20449,inf,inf,False,False
q20450,inf,inf,False,False
q20451,inf,inf,False,False
q20452,inf,inf,False,False
q20453,inf,inf,False,False
q20454,inf,inf,False,False
q20455,inf,inf,False,False
q20456,inf,inf,False,False
q20457,inf,inf,False,False
q20458,inf,inf,False,False
q20459,inf,inf,False,False
q20460,inf,inf,False,False
q20461,inf,inf,False,False
q20462,inf,inf,False,False
q20463,inf,inf,False,False
q20464,inf,inf,False,False
q20465,inf,inf,False,False
q20466,inf,inf,False,False
q20467,inf,inf,False,False
q20468,inf,inf,False,False
q20469,inf,inf,False,False
q20470,inf,inf,False,False
q20471,inf,inf,False,False
q20472,inf,inf,False,False
q20473,inf,inf,False,False
q20474,inf,inf,False,False
q20475,inf,inf,False,False
q20476,inf,inf,False,False
q20477,inf,inf,False,False
q20478,inf,inf,False,False
q20479,inf,inf,False,False
q20480,inf,inf,False,False
q20481,inf,inf,False,False
q20482,inf,inf,False,False
q20483,inf,inf,False,False
q20484,inf,inf,False,False
q20485,inf,inf,False,False
q20486,inf,inf,False,False
q20487,inf,inf,False,False
q20488,inf,inf,False,False
q20489,inf,inf,False,False
q20490,inf,inf,False,False
q20491,inf,inf,False,False
q20492,inf,inf,False,False
q20493,inf,inf,False,False
q20494,inf,inf,False,False
q20495,inf,inf,False,False
q20496,inf,inf,False,False
q20497,inf,inf,False,False
q20498,inf,inf,False,False
q20499,inf,inf,False,False
q20500,inf,inf,False,False
q20501,inf,inf,False,False
q20502,inf,inf,False,False
q20503,inf,inf,False,False
q20504,inf,inf,False,False
q20505,inf,inf,False,False
q20506,inf,inf,False,False
q20507,inf,inf,False,False
q20508,inf,inf,False,False
q20509,inf,inf,False,False
q20510,inf,inf,False,False
q20511,inf,inf,False,False
q20512,inf,inf,False,False
q20513,inf,inf,False,False
q20514,inf,inf,False,False
q20515,inf,inf,False,False
q20516,inf,inf,False,False
q20517,inf,inf,False,False
q20518,inf,inf,False,False
q20519,inf,inf,False,False
q20520,inf,inf,False,False
q20521,inf,inf,False,False
q20522,inf,inf,False,False
q20523,inf,inf,False,False
q20524,inf,inf,False,False
q20525,inf,inf,False,False
q20526,inf,inf,False,False
q20527,inf,inf,False,False
q20528,inf,inf,False,False
q20529,inf,inf,False,False
q20530,inf,inf,False,False
q20531,inf,inf,False,False
q20532,inf,inf,False,False
q20533,inf,inf,False,False
q20534,inf,inf,False,False
q20535,inf,inf,False,False
q20536,inf,inf,False,False
q20537,inf,inf,False,False
q20538,inf,inf,False,False
q20539,inf,inf,False,False
q20540,inf,inf,False,False
q20541,inf,inf,False,False
q20542,inf,inf,False,False
q20543,inf,inf,False,False
q20544,inf,inf,False,False
q20545,inf,inf,False,False
q20546,inf,inf,False,False
q20547,inf,inf,False,False
q20548,inf,inf,False,False
q20549,inf,inf,False,False
q20550,inf,inf,False,False
q20551,inf,inf,False,False
q20552,inf,inf,False,False
q20553,inf,inf,False,False
q20554,inf,inf,False,False
q20555,inf,inf,False,False
q20556,inf,inf,False,False
q20557,inf,inf,False,False
q20558,inf,inf,False,False
q20559,inf,inf,False,False
q20560,inf,inf,False,False
q20561,inf,inf,False,False
q20562,inf,inf,False,False
q20563,inf,inf,False,False
q20564,inf,inf,False,False
q20565,inf,inf,False,False
q20566,inf,inf,False,False
q20567,inf,inf,False,False
q20568,inf,inf,False,False
q20569,inf,inf,False,False
q20570,inf,inf,False,False
q20571,inf,inf,False,False
q20572,inf,inf,False,False
q20573,inf,inf,False,False
q20574,inf,inf,False,False
q20575,inf,inf,False,False
q20576,inf,inf,False,False
q20577,inf,inf,False,False
q20578,inf,inf,False,False
q20579,inf,inf,False,False
q20580,inf,inf,False,False
q20581,inf,inf,False,False
q20582,inf,inf,False,False
q20583,inf,inf,False,False
q20584,inf,inf,False,False
q20585,inf,inf,False,False
q20586,inf,inf,False,False
q20587,inf,inf,False,False
q20588,inf,inf,False,False
q20589,inf,inf,False,False
q20590,inf,inf,False,False
q20591,inf,inf,False,False
q20592,inf,inf,False,False
q20593,inf,inf,False,False
q20594,inf,inf,False,False
q20595,inf,inf,False,False
q20596,inf,inf,False,False
q20597,inf,inf,False,False
q20598,inf,inf,False,False
q20599,inf,inf,False,False
q20600,inf,inf,False,False
q20601,inf,inf,False,False
q20602,inf,inf,False,False
q20603,inf,inf,False,False
q20604,inf,inf,False,False
