query_id,baseline_rank,expl_rank,baseline_in_topk,expl_in_topk,group,query_text
q20105,inf,inf,False,False,Neither,sort by a token in string python
q20106,inf,inf,False,False,Neither,python check file is readonly
q20107,inf,inf,False,False,Neither,declaring empty numpy array in python
q20108,inf,inf,False,False,Neither,test for iterable is string in python
q20109,inf,inf,False,False,Neither,python print results of query loop
q20110,inf,inf,False,False,Neither,how to save header of fits file to export python
q20111,inf,inf,False,False,Neither,python calc page align
q20112,inf,inf,False,False,Neither,python numpy array as float
q20113,inf,inf,False,False,Neither,input string that replaces occurences python
q20114,inf,inf,False,False,Neither,python check all items in list are ints
q20115,inf,inf,False,False,Neither,how to save variable to text file python
q20116,inf,inf,False,False,Neither,how to skip an index in a for loop python
q20117,inf,inf,False,False,Neither,how to create a tokenization code in python
q20118,inf,inf,False,False,Neither,python raise without parentheses
q20119,inf,inf,False,False,Neither,how to seperate list with commas python
q20120,inf,inf,False,False,Neither,python asynchronous function call return
q20121,inf,inf,False,False,Neither,how to make a seconds to time in python
q20122,inf,inf,False,False,Neither,python cast true or false as numbers
q20123,inf,inf,False,False,Neither,add milliseconds to datetime python
q20124,inf,inf,False,False,Neither,how to read the last n lines of a program on python
q20125,inf,inf,False,False,Neither,python mysql get list of table columns
q20126,inf,inf,False,False,Neither,how to get domain part of a url in python
q20127,inf,inf,False,False,Neither,python flatten a nested dictionaary
q20128,inf,inf,False,False,Neither,python session set get
q20129,inf,inf,False,False,Neither,python save graph into file
q20130,inf,inf,False,False,Neither,chmod python windows to remove file
q20131,inf,inf,False,False,Neither,add suffixes on concat python
q20132,inf,inf,False,False,Neither,how to check python object iterable
q20133,inf,inf,False,False,Neither,python 3 tkinter open file dialog
q20134,inf,inf,False,False,Neither,how to indent self python
q20135,inf,inf,False,False,Neither,tracking centroid of an object python
q20136,inf,inf,False,False,Neither,python3 ctypes return float array
q20137,inf,inf,False,False,Neither,how to make paragraphs in python
q20138,inf,inf,False,False,Neither,python rest requests delete
q20139,inf,inf,False,False,Neither,python replace month number
q20140,inf,inf,False,False,Neither,how to tell what type of data object is in python
q20141,inf,inf,False,False,Neither,python jsonschema validate schema file
q20142,inf,inf,False,False,Neither,get wechat access token python
q20143,inf,inf,False,False,Neither,python change str value to int
q20144,inf,inf,False,False,Neither,implementing drag and drop python
q20145,inf,inf,False,False,Neither,get unique list from two lists python
q20146,inf,inf,False,False,Neither,python 3 not runnning in git bash
q20147,inf,inf,False,False,Neither,create unknown number of names to print in python
q20148,inf,inf,False,False,Neither,python json if element exists
q20149,inf,inf,False,False,Neither,number of unique values in list python
q20150,inf,inf,False,False,Neither,how to randomize items in a list in python
q20151,inf,inf,False,False,Neither,python windows check for keypress
q20152,inf,inf,False,False,Neither,python bind scrollbar to canvas
q20153,inf,inf,False,False,Neither,python setlevel how to only record error
q20154,inf,inf,False,False,Neither,format string with *args python
